"EventId","EventTemplate","Occurrences"
"E81","JVM with ID : jvm <:NUM:> <:NUM:> m <:NUM:> asked for a task","10"
"E82","JVM with ID: jvm <:NUM:> <:NUM:> m <:NUM:> given task: attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","10"
"E83","Progress of TaskAttempt attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> is : <:NUM:>.<:NUM:>","289"
"E84","Cannot assign container Container: [ContainerId: container <:NUM:> <:NUM:> <:NUM:> <:NUM:>, NodeId: MSRA-SA-<:NUM:>.fareast.corp.microsoft.com: <:NUM:>, NodeHttpAddress: MSRA-SA-<:NUM:>.fareast.corp.microsoft.com: <:NUM:>, Resource: <memory: <:NUM:>, vCores: <:NUM:>>, Priority: <:NUM:>, Token: Token { kind: ContainerToken, service: <*>: <:NUM:> }, ] for a map as either container memory less than required <memory: <:NUM:>, vCores: <:NUM:>> or no pending map tasks - maps.isEmpty= true","1"
"E85","Received completed container container <:NUM:> <:NUM:> <:NUM:> <:NUM:>","2"
"E86","Container complete event for unknown container id container <:NUM:> <:NUM:> <:NUM:> <:NUM:>","1"
"E87","Done acknowledgement from attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","1"
"E88","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from RUNNING to SUCCESS CONTAINER CLEANUP","1"
"E89","Processing the event EventType: CONTAINER REMOTE <:*:> for container container <:NUM:> <:NUM:> <:NUM:> <:NUM:> taskAttempt attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","3"
"E90","KILLING attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","3"
"E91","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from <:*:> <:*:> <:*:> <:*:> <:*:>","5"
"E92","Task succeeded with attempt attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","1"
"E93","Num completed Tasks: <:NUM:>","1"
"E94","Reduce slow start threshold reached. Scheduling reduces.","1"
"E95","All maps assigned. Ramping up all remaining reduces: <:NUM:>","1"
"E96","DefaultSpeculator.addSpeculativeAttempt -- we are speculating task <:NUM:> <:NUM:> m <:NUM:>","1"
"E97","We launched <:NUM:> speculations. Sleeping <:NUM:> milliseconds.","1"
"E98","Scheduling a redundant attempt for task task <:NUM:> <:NUM:> m <:NUM:>","1"
"E99","Diagnostics report from attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>: Container killed by the ApplicationMaster.","1"
"E100","Address change detected. Old: msra-sa-<:NUM:>/<*>: <:NUM:> New: msra-sa-<:NUM:>: <:NUM:>","476"
"E101","Failed to renew lease for [DFSClient NONMAPREDUCE <:NUM:> <:NUM:>] for <:NUM:> seconds. Will retry shortly ...","326"
"E102","Slow ReadProcessor read fields took 65020ms ( threshold= 30000ms) ; ack: seqno: <:NUM:> status: SUCCESS status: ERROR downstreamAckTimeNanos: <:NUM:>, targets: [<*>: <:NUM:>, <*>: <:NUM:>]","1"
"E103","DFSOutputStream ResponseProcessor exception for block BP-<:NUM:>-<*><:NUM:>: blk <:NUM:> <:NUM:>","1"
"E104","Error Recovery for block BP-<:NUM:>-<*><:NUM:>: blk <:NUM:> <:NUM:> in pipeline <*>: <:NUM:>, <*>: <:NUM:>: bad datanode <*>: <:NUM:>","1"
"E105","DataStreamer Exception","1"
"E106","ERROR IN CONTACTING RM.","147"
"E107","Retrying connect to server: msra-sa-<:NUM:>: <:NUM:>. Already tried <:NUM:> time( s) ; retry policy is RetryUpToMaximumCountWithFixedSleep( maxRetries= <:NUM:>, sleepTime= <:NUM:> MILLISECONDS)","146"
"E108","Task: attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> - exited : java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5/<*> to msra-sa-<:NUM:>: <:NUM:> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http: //wiki.apache.org/hadoop/NoRouteToHost","2"
"E109","Diagnostics report from attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>: Error: java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5/<*> to msra-sa-<:NUM:>: <:NUM:> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http: //wiki.apache.org/hadoop/NoRouteToHost","4"
"E110","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from FAIL CONTAINER CLEANUP to FAIL TASK CLEANUP","2"
"E111","Processing the event EventType: <:*:> <:*:>","2"
"E112","Task cleanup failed for attempt attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","2"
"E113","Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d","1"
"E114","Thread Thread[eventHandlingThread,<:NUM:>,main] threw an Exception.","1"
"E115","<:NUM:> failures on node MININT-FNANLI5.fareast.corp.microsoft.com","2"
"E116","Added attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> to list of failed maps","2"
