"LineId","Date","Time","Level","Process","Component","Content","EventId","EventTemplate"
"38","2015-10-18","18:01:51,916","INFO","main","org.apache.hadoop.http.HttpServer2","Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce","E28","Added filter AM PROXY FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce"
"39","2015-10-18","18:01:51,916","INFO","main","org.apache.hadoop.http.HttpServer2","Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static","E28","Added filter AM PROXY FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <:*:>"
"40","2015-10-18","18:01:51,947","INFO","main","org.apache.hadoop.http.HttpServer2","adding path spec: /mapreduce/*","E29","adding path spec: /mapreduce/*"
"41","2015-10-18","18:01:51,947","INFO","main","org.apache.hadoop.http.HttpServer2","adding path spec: /ws/*","E29","adding path spec: <:*:>"
"42","2015-10-18","18:01:51,963","INFO","main","org.apache.hadoop.http.HttpServer2","Jetty bound to port 62267","E30","Jetty bound to port <:NUM:>"
"43","2015-10-18","18:01:51,963","INFO","main","org.mortbay.log","jetty-6.1.26","E31","jetty-<:NUM:>.<:NUM:>.<:NUM:>"
"44","2015-10-18","18:01:52,088","INFO","main","org.mortbay.log","Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\\Users\\msrabi\\AppData\\Local\\Temp\\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\\webapp","E32","Extract jar: file: /D: /hadoop-<:NUM:>.<:NUM:>.<:NUM:>-localbox/share/hadoop/yarn/hadoop-yarn-common-<:NUM:>.<:NUM:>.<:NUM:>-SNAPSHOT.jar!/webapps/mapreduce to C: \\Users\\msrabi\\AppData\\Local\\Temp\\Jetty <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> mapreduce .8n7xum\\webapp"
"45","2015-10-18","18:01:52,728","INFO","main","org.mortbay.log","Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267","E33","Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>: <:NUM:>"
"46","2015-10-18","18:01:52,728","INFO","main","org.apache.hadoop.yarn.webapp.WebApps","Web app /mapreduce started at 62267","E34","Web app /mapreduce started at <:NUM:>"
"47","2015-10-18","18:01:53,400","INFO","main","org.apache.hadoop.yarn.webapp.WebApps","Registered webapp guice modules","E35","Registered webapp guice modules"
"48","2015-10-18","18:01:53,400","INFO","main","org.apache.hadoop.ipc.CallQueueManager","Using callQueue class java.util.concurrent.LinkedBlockingQueue","E19","Using callQueue class java.util.concurrent.LinkedBlockingQueue"
"49","2015-10-18","18:01:53,447","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator","JOB_CREATE job_1445144423722_0020","E36","JOB CREATE job <:NUM:> <:NUM:>"
"50","2015-10-18","18:01:53,447","INFO","main","org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor","nodeBlacklistingEnabled:true","E37","nodeBlacklistingEnabled: true"
"51","2015-10-18","18:01:53,447","INFO","main","org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor","maxTaskFailuresPerNode is 3","E38","maxTaskFailuresPerNode is <:NUM:>"
"52","2015-10-18","18:01:53,447","INFO","main","org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor","blacklistDisablePercent is 33","E39","blacklistDisablePercent is <:NUM:>"
"53","2015-10-18","18:01:53,510","INFO","Socket Reader #1 for port 62270","org.apache.hadoop.ipc.Server","Starting Socket Reader #1 for port 62270","E20","Starting Socket Reader #<:NUM:> for port <:NUM:>"
"54","2015-10-18","18:01:53,510","INFO","IPC Server listener on 62270","org.apache.hadoop.ipc.Server","IPC Server listener on 62270: starting","E24","IPC Server listener on <:NUM:>: starting"
"55","2015-10-18","18:01:53,510","INFO","IPC Server Responder","org.apache.hadoop.ipc.Server","IPC Server Responder: starting","E23","IPC Server Responder: starting"
"56","2015-10-18","18:01:53,557","INFO","main","org.apache.hadoop.yarn.client.RMProxy","Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030","E40","Connecting to ResourceManager at msra-sa-<:NUM:>/<*>: <:NUM:>"
"57","2015-10-18","18:01:53,713","INFO","main","org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator","maxContainerCapability: <memory:8192, vCores:32>","E41","maxContainerCapability: <memory: <:NUM:>, vCores: <:NUM:>>"
"58","2015-10-18","18:01:53,713","INFO","main","org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator","queue: default","E42","queue: default"
"59","2015-10-18","18:01:53,713","INFO","main","org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl","Upper limit on the thread pool size is 500","E43","Upper limit on the thread pool size is <:NUM:>"
"60","2015-10-18","18:01:53,713","INFO","main","org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy","yarn.client.max-cached-nodemanagers-proxies : 0","E44","yarn.client.max-cached-nodemanagers-proxies : <:NUM:>"
"61","2015-10-18","18:01:53,744","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl","job_1445144423722_0020Job Transitioned from INITED to SETUP","E17","job <:NUM:> 0020Job Transitioned from <:*:> to <:*:>"
"62","2015-10-18","18:01:53,775","INFO","CommitterEvent Processor #0","org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler","Processing the event EventType: JOB_SETUP","E45","Processing the event EventType: JOB SETUP"
"63","2015-10-18","18:01:53,822","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl","job_1445144423722_0020Job Transitioned from SETUP to RUNNING","E17","job <:NUM:> 0020Job Transitioned from <:*:> to <:*:>"
"64","2015-10-18","18:01:53,838","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"65","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"66","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"67","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"68","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"69","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"70","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"71","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"72","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"73","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"74","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"75","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000003 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"76","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"77","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"78","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000004 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"79","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"80","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"81","2015-10-18","18:01:53,869","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000005 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"82","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"83","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"84","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000006 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"85","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"86","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"87","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000007 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"88","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"89","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"90","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000008 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"91","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"92","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.yarn.util.RackResolver","Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","E46","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack"
"93","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_m_000009 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED"
"94","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl","task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED","E47","task <:NUM:> <:NUM:> <:*:> <:NUM:> Task Transitioned from NEW to SCHEDULED"
"95","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"96","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"97","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"98","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"99","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"100","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"101","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"102","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"103","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000008_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
"104","2015-10-18","18:01:53,885","INFO","AsyncDispatcher event handler","org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl","attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from NEW to UNASSIGNED","E48","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED"
