"LineId","Date","Time","Level","Component","Content","EventId","EventTemplate"
"18","17/06/09","20:10:42","INFO","netty.NettyBlockTransferService","Server created on 40984","E13","Server created on <:NUM:>"
"19","17/06/09","20:10:42","INFO","storage.BlockManagerMaster","Trying to register BlockManager","E14","Trying to register BlockManager"
"20","17/06/09","20:10:42","INFO","storage.BlockManagerMaster","Registered BlockManager","E15","Registered BlockManager"
"21","17/06/09","20:10:45","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 0","E16","Got assigned task <:NUM:>"
"22","17/06/09","20:10:45","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 1","E16","Got assigned task <:NUM:>"
"23","17/06/09","20:10:45","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 2","E16","Got assigned task <:NUM:>"
"24","17/06/09","20:10:45","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 3","E16","Got assigned task <:NUM:>"
"25","17/06/09","20:10:45","INFO","executor.Executor","Running task 0.0 in stage 0.0 (TID 0)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"26","17/06/09","20:10:45","INFO","executor.Executor","Running task 2.0 in stage 0.0 (TID 2)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"27","17/06/09","20:10:45","INFO","executor.Executor","Running task 1.0 in stage 0.0 (TID 1)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"28","17/06/09","20:10:45","INFO","executor.Executor","Running task 3.0 in stage 0.0 (TID 3)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"29","17/06/09","20:10:45","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 4","E16","Got assigned task <:NUM:>"
"30","17/06/09","20:10:45","INFO","executor.Executor","Running task 4.0 in stage 0.0 (TID 4)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"31","17/06/09","20:10:45","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 9","E18","Started reading broadcast variable <:NUM:>"
"32","17/06/09","20:10:45","INFO","storage.MemoryStore","Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)","E19","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"33","17/06/09","20:10:45","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 9 took 160 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"34","17/06/09","20:10:46","INFO","storage.MemoryStore","Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"35","17/06/09","20:10:46","INFO","spark.CacheManager","Partition rdd_2_1 not found, computing it","E22","Partition rdd <:NUM:> <:NUM:> not found, computing it"
"36","17/06/09","20:10:46","INFO","spark.CacheManager","Partition rdd_2_3 not found, computing it","E22","Partition rdd <:NUM:> <:NUM:> not found, computing it"
"37","17/06/09","20:10:46","INFO","spark.CacheManager","Partition rdd_2_0 not found, computing it","E22","Partition rdd <:NUM:> <:NUM:> not found, computing it"
"38","17/06/09","20:10:46","INFO","spark.CacheManager","Partition rdd_2_2 not found, computing it","E22","Partition rdd <:NUM:> <:NUM:> not found, computing it"
"39","17/06/09","20:10:46","INFO","spark.CacheManager","Partition rdd_2_4 not found, computing it","E22","Partition rdd <:NUM:> <:NUM:> not found, computing it"
"40","17/06/09","20:10:46","INFO","rdd.HadoopRDD","Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292","E23","Input split: hdfs: //<*>: <:NUM:>/pjhe/logs/2kSOSP.log: <:NUM:>+<:NUM:>"
"41","17/06/09","20:10:46","INFO","rdd.HadoopRDD","Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292","E23","Input split: hdfs: //<*>: <:NUM:>/pjhe/logs/2kSOSP.log: <:NUM:>+<:NUM:>"
"42","17/06/09","20:10:46","INFO","rdd.HadoopRDD","Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292","E23","Input split: hdfs: //<*>: <:NUM:>/pjhe/logs/2kSOSP.log: <:NUM:>+<:NUM:>"
"43","17/06/09","20:10:46","INFO","rdd.HadoopRDD","Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292","E23","Input split: hdfs: //<*>: <:NUM:>/pjhe/logs/2kSOSP.log: <:NUM:>+<:NUM:>"
"44","17/06/09","20:10:46","INFO","rdd.HadoopRDD","Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292","E23","Input split: hdfs: //<*>: <:NUM:>/pjhe/logs/2kSOSP.log: <:NUM:>+<:NUM:>"
"45","17/06/09","20:10:46","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 8","E18","Started reading broadcast variable <:NUM:>"
"46","17/06/09","20:10:46","INFO","storage.MemoryStore","Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)","E19","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"47","17/06/09","20:10:46","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 8 took 19 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"48","17/06/09","20:10:46","INFO","storage.MemoryStore","Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"49","17/06/09","20:10:47","INFO","Configuration.deprecation","mapred.tip.id is deprecated. Instead, use mapreduce.task.id","E24","<*> is deprecated. Instead, use <*>"
"50","17/06/09","20:10:47","INFO","Configuration.deprecation","mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","E24","<*> is deprecated. Instead, use <*>"
"51","17/06/09","20:10:47","INFO","Configuration.deprecation","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","E24","<*> is deprecated. Instead, use <*>"
"52","17/06/09","20:10:47","INFO","Configuration.deprecation","mapred.job.id is deprecated. Instead, use mapreduce.job.id","E24","<*> is deprecated. Instead, use <*>"
"53","17/06/09","20:10:47","INFO","Configuration.deprecation","mapred.task.partition is deprecated. Instead, use mapreduce.task.partition","E24","<*> is deprecated. Instead, use <*>"
"54","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 0","E18","Started reading broadcast variable <:NUM:>"
"55","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)","E19","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"56","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 0 took 21 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"57","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"58","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 4","E18","Started reading broadcast variable <:NUM:>"
"59","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)","E19","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"60","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 4 took 18 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"61","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"62","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 3","E18","Started reading broadcast variable <:NUM:>"
"63","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)","E19","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"64","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 3 took 17 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"65","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"66","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 1","E18","Started reading broadcast variable <:NUM:>"
"67","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)","E19","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"68","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 1 took 16 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"69","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"70","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 2","E18","Started reading broadcast variable <:NUM:>"
"71","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)","E19","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"72","17/06/09","20:10:48","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 2 took 16 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"73","17/06/09","20:10:48","INFO","storage.MemoryStore","Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"74","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 1072, boot = 856, init = 210, finish = 6","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"75","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 1114, boot = 885, init = 223, finish = 6","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"76","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 1074, boot = 869, init = 199, finish = 6","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"77","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 1078, boot = 851, init = 219, finish = 8","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"78","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 1077, boot = 865, init = 206, finish = 6","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"79","17/06/09","20:10:48","INFO","storage.MemoryStore","Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)","E19","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"80","17/06/09","20:10:48","INFO","storage.MemoryStore","Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)","E19","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"81","17/06/09","20:10:48","INFO","storage.MemoryStore","Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)","E19","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"82","17/06/09","20:10:48","INFO","storage.MemoryStore","Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)","E19","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"83","17/06/09","20:10:48","INFO","storage.MemoryStore","Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)","E19","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"84","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 38, boot = 11, init = 27, finish = 0","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"85","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 42, boot = 12, init = 30, finish = 0","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"86","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 41, boot = 15, init = 26, finish = 0","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"87","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 40, boot = 7, init = 33, finish = 0","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"88","17/06/09","20:10:48","INFO","python.PythonRunner","Times: total = 42, boot = 13, init = 28, finish = 1","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"89","17/06/09","20:10:48","INFO","executor.Executor","Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"90","17/06/09","20:10:48","INFO","executor.Executor","Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"91","17/06/09","20:10:48","INFO","executor.Executor","Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"92","17/06/09","20:10:48","INFO","executor.Executor","Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"93","17/06/09","20:10:48","INFO","executor.Executor","Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"94","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 42","E16","Got assigned task <:NUM:>"
"95","17/06/09","20:10:52","INFO","executor.Executor","Running task 0.0 in stage 1.0 (TID 42)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"96","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 56","E16","Got assigned task <:NUM:>"
"97","17/06/09","20:10:52","INFO","executor.Executor","Running task 1.0 in stage 1.0 (TID 56)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"98","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 69","E16","Got assigned task <:NUM:>"
"99","17/06/09","20:10:52","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 10","E18","Started reading broadcast variable <:NUM:>"
"100","17/06/09","20:10:52","INFO","executor.Executor","Running task 2.0 in stage 1.0 (TID 69)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"101","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 78","E16","Got assigned task <:NUM:>"
"102","17/06/09","20:10:52","INFO","executor.Executor","Running task 3.0 in stage 1.0 (TID 78)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"103","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 79","E16","Got assigned task <:NUM:>"
"104","17/06/09","20:10:52","INFO","executor.Executor","Running task 4.0 in stage 1.0 (TID 79)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"105","17/06/09","20:10:52","INFO","storage.MemoryStore","Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)","E19","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"106","17/06/09","20:10:52","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 10 took 17 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"107","17/06/09","20:10:52","INFO","storage.MemoryStore","Block broadcast_10 stored as values in memory (estimated size 9.6 KB, free 339.2 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"108","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_0 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"109","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_3 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"110","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_4 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"111","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_2 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"112","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_1 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"113","17/06/09","20:10:52","INFO","python.PythonRunner","Times: total = 42, boot = -4131, init = 4172, finish = 1","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"114","17/06/09","20:10:52","INFO","python.PythonRunner","Times: total = 41, boot = -4122, init = 4162, finish = 1","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"115","17/06/09","20:10:52","INFO","python.PythonRunner","Times: total = 42, boot = -4121, init = 4162, finish = 1","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"116","17/06/09","20:10:52","INFO","python.PythonRunner","Times: total = 42, boot = -4138, init = 4179, finish = 1","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"117","17/06/09","20:10:52","INFO","python.PythonRunner","Times: total = 42, boot = -4134, init = 4175, finish = 1","E25","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
"118","17/06/09","20:10:52","INFO","executor.Executor","Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"119","17/06/09","20:10:52","INFO","executor.Executor","Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"120","17/06/09","20:10:52","INFO","executor.Executor","Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"121","17/06/09","20:10:52","INFO","executor.Executor","Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"122","17/06/09","20:10:52","INFO","executor.Executor","Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver","E26","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver"
"123","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 87","E16","Got assigned task <:NUM:>"
"124","17/06/09","20:10:52","INFO","executor.Executor","Running task 0.0 in stage 2.0 (TID 87)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"125","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 101","E16","Got assigned task <:NUM:>"
"126","17/06/09","20:10:52","INFO","executor.Executor","Running task 1.0 in stage 2.0 (TID 101)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"127","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 112","E16","Got assigned task <:NUM:>"
"128","17/06/09","20:10:52","INFO","executor.Executor","Running task 2.0 in stage 2.0 (TID 112)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"129","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 118","E16","Got assigned task <:NUM:>"
"130","17/06/09","20:10:52","INFO","executor.Executor","Running task 3.0 in stage 2.0 (TID 118)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"131","17/06/09","20:10:52","INFO","broadcast.TorrentBroadcast","Started reading broadcast variable 11","E18","Started reading broadcast variable <:NUM:>"
"132","17/06/09","20:10:52","INFO","executor.CoarseGrainedExecutorBackend","Got assigned task 119","E16","Got assigned task <:NUM:>"
"133","17/06/09","20:10:52","INFO","executor.Executor","Running task 4.0 in stage 2.0 (TID 119)","E17","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)"
"134","17/06/09","20:10:52","INFO","storage.MemoryStore","Block broadcast_11_piece0 stored as bytes in memory (estimated size 5.4 KB, free 344.7 KB)","E19","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"135","17/06/09","20:10:52","INFO","broadcast.TorrentBroadcast","Reading broadcast variable 11 took 15 ms","E20","Reading broadcast variable <:NUM:> took <:NUM:> ms"
"136","17/06/09","20:10:52","INFO","storage.MemoryStore","Block broadcast_11 stored as values in memory (estimated size 9.2 KB, free 353.9 KB)","E21","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)"
"137","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_4 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"138","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_3 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"139","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_2 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
"140","17/06/09","20:10:52","INFO","storage.BlockManager","Found block rdd_2_0 locally","E27","Found block rdd <:NUM:> <:NUM:> locally"
